,State,Name,Link,Address,Graduation Rate,SAT,AP,College Attendance,College Retention,Distance from Nearest College
11,rhode-island,South Kingstown High School,/rhode-island/south-kingstown/255-South-Kingstown-High-School/,"215 Columbia Street, South Kingstown, RI 02879",94,1615,23,79,Not available,50810
12,rhode-island,Westerly High School,/rhode-island/westerly/302-Westerly-High-School/,"23 Ward Avenue, Westerly, RI 02891",93,1573,26,69,Not available,70024
13,rhode-island,Coventry High School,/rhode-island/coventry/41-Coventry-High-School/,"40 Reservoir Road, Coventry, RI 02816",90,1457,10,71,Not available,36233
14,rhode-island,Cranston High School West,/rhode-island/cranston/52-Cranston-High-School-West/,"80 Metropolitan Avenue, Cranston, RI 02920",92,1479,10,82,Not available,18805
15,rhode-island,Cumberland High School,/rhode-island/cumberland/74-Cumberland-High-School/,"2600 Mendon Road, Cumberland, RI 02864",90,1488,24,76,Not available,13986
16,rhode-island,Middletown High School,/rhode-island/middletown/133-Middletown-High-School/,"130 Valley Road, Middletown, RI 02842",93,1541,19,79,Not available,55226
17,rhode-island,North Providence High School,/rhode-island/north-providence/163-North-Providence-High-School/,"1828 Mineral Spring Avenue, North Providence, RI 02904",95,1398,7,76,Not available,8910
18,rhode-island,Tiverton High School,/rhode-island/tiverton/261-Tiverton-High-School/,"100 North Brayton Road, Tiverton, RI 02878",85,1437,8,67,Not available,39292
19,rhode-island,Toll Gate High School,/rhode-island/warwick/286-Toll-Gate-High-School/,"575 Centerville Road, Warwick, RI 02886",94,1513,10,71,Not available,19416
20,rhode-island,Jacqueline M. Walsh School,/rhode-island/pawtucket/888-Jacqueline-M.-Walsh-School/,"350 Division Street, Pawtucket, RI 02860",96,1406,11,69,Not available,10385
21,rhode-island,Burrillville High School,/rhode-island/harrisville/22-Burrillville-High-School/,"425 East Ave, Harrisville, RI 02830",91,1455,10,73,Not available,14611
22,rhode-island,Cranston High School East,/rhode-island/cranston/51-Cranston-High-School-East/,"899 Park Avenue, Cranston, RI 02910",91,1397,9,63,Not available,8328
23,rhode-island,West Warwick High School,/rhode-island/west-warwick/296-West-Warwick-High-School/,"1 Webster Knight Drive, West Warwick, RI 02893",86,1379,14,60,Not available,21549
24,rhode-island,Davies Career-Tech High School,/rhode-island/lincoln/19-Davies-Career-Tech-High-School/,"50 Jenckes Hill Road, Lincoln, RI 02865",81,1309,1,56,Not available,8782
25,rhode-island,Pilgrim High School,/rhode-island/warwick/280-Pilgrim-High-School/,"111 Pilgrim Parkway, Warwick, RI 02888",90,1400,8,70,Not available,15372
26,rhode-island,Metropolitan Career Tech Center,/rhode-island/providence/18-Metropolitan-Career-Tech-Center/,"325 Public Street, Providence, RI 02905",90,1288,0,58,Not available,3002
27,rhode-island,East Providence High School,/rhode-island/east-providence/90-East-Providence-High-School/,"2000 Pawtucket Avenue, East Providence, RI 02914",84,1341,11,63,Not available,5712
28,rhode-island,Johnston Senior High School,/rhode-island/johnston/116-Johnston-Senior-High-School/,"345 Cherry Hill Road, Johnston, RI 02919",85,1374,6,70,Not available,10228
29,rhode-island,Rogers High School,/rhode-island/newport/143-Rogers-High-School/,"15 Wickham Road, Newport, RI 02840",82,1324,17,51,Not available,58776
30,rhode-island,William E. Tolman High School,/rhode-island/pawtucket/185-William-E.-Tolman-High-School/,"150 Exchange Street, Pawtucket, RI 02860",81,1226,11,46,Not available,9154
31,rhode-island,Providence Career and Technical School,/rhode-island/providence/891-Providence-Career-And-Technical-School/,"41 Fricker Street, Providence, RI 02903",88,1044,11,46,Not available,1955
32,rhode-island,Central Falls Sr High School,/rhode-island/central-falls/29-Central-Falls-Sr-High-School/,"24 Summer Street, Central Falls, RI 02863",78,1040,12,40,Not available,9134
33,rhode-island,Shea High School,/rhode-island/pawtucket/184-Shea-High-School/,"485 East Avenue, Pawtucket, RI 02860",81,1157,8,51,Not available,4001
34,rhode-island,Central High School,/rhode-island/providence/211-Central-High-School/,"70 Fricker Street, Providence, RI 02903",70,1076,11,54,Not available,1986
35,rhode-island,Woonsocket High School,/rhode-island/woonsocket/317-Woonsocket-High-School/,"777 Cass Avenue, Woonsocket, RI 02895",67,1347,11,49,Not available,14857
36,rhode-island,Hope High School,/rhode-island/providence/217-Hope-High-School/,"324 Hope Street, Providence, RI 02906",65,1107,15,37,Not available,527
37,rhode-island,Mount Pleasant High School,/rhode-island/providence/222-Mount-Pleasant-High-School/,"434 Mount Pleasant Avenue, Providence, RI 02908",62,1069,7,32,Not available,4628
38,rhode-island,Dr. Jorge Alvarez High School,/rhode-island/providence/604-Dr.-Jorge-Alvarez-High-School/,"375 Adelaide Avenue, Providence, RI 02907",55,1032,14,45,Not available,8275
