,State,Name,Link,Address,Graduation Rate,SAT,AP,College Attendance,College Retention
47,vermont,North Country Senior Uhsd #22,/vermont/newport/337-North-Country-Senior-Uhsd-22/,"209 Veterans Avenue, Newport, VT 05855",85,1070,11,49,78
48,vermont,Bfa High School - Fairfax,/vermont/fairfax/583-Bfa-High-School---Fairfax/,"75 Hunt Street, Fairfax, VT 05454",92,1145,11,65,74
49,vermont,Windsor  School,/vermont/windsor/1200-Windsor--School/,"127 State Street, Windsor, VT 05089",68,1091,0,54,80
50,vermont,Arlington Memorial,/vermont/arlington/15-Arlington-Memorial/,"529 East Arlington Road, Arlington, VT 05250",82,1039,19,57,Not available
51,vermont,Randolph Uhsd #2,/vermont/randolph/38-Randolph-Uhsd-2/,"15 Forest Street, Randolph, VT 05060",94,1108,11,52,79
52,vermont,Fair Haven Uhsd #16,/vermont/fair-haven/107-Fair-Haven-Uhsd-16/,"33 Mechanic Street, Fair Haven, VT 05743",88,1100,14,62,83
53,vermont,Lamoille Uhsd #18,/vermont/hyde-park/149-Lamoille-Uhsd-18/,"736 Vermont 15, Hyde Park, VT 05655",88,1027,13,42,83
54,vermont,Springfield High School,/vermont/springfield/251-Springfield-High-School/,"303 South Street, Springfield, VT 05156",72,1087,5,52,89
55,vermont,Hazen Uhsd # 26,/vermont/hardwick/287-Hazen-Uhsd--26/,"126 Hazen Union Drive, Hardwick, VT 05843",94,1041,6,51,68
56,vermont,Oxbow Uhsd #30,/vermont/bradford/292-Oxbow-Uhsd-30/,"36 Oxbow Drive, Bradford, VT 05033",96,1135,15,42,89
57,vermont,West Rutland School,/vermont/west-rutland/310-West-Rutland-School/,"713 Main Street, West Rutland, VT 05777",85,1042,20,Not available,78
58,vermont,Williamstown Middle/High School,/vermont/williamstown/318-Williamstown-Middle-High-School/,"120 Hebert Road, Williamstown, VT 05679",82,1064,11,55,Not available
59,vermont,Proctor Junior/Senior High School,/vermont/proctor/211-Proctor-Junior-Senior-High-School/,"4 Park Street, Proctor, VT 05765",94,1064,33,67,88
60,vermont,Richford Junior/Senior High School,/vermont/richford/217-Richford-Junior-Senior-High-School/,"1 Corliss Heights, Richford, VT 05476",80,975,6,43,83
61,vermont,Blue Mountain Usd #21,/vermont/newbury/278-Blue-Mountain-Usd-21/,"2420 U.S. 302, Newbury, VT 05081",96,1006,0,46,Not available
62,vermont,Mill River Usd #40,/vermont/north-clarendon/288-Mill-River-Usd-40/,"2321 Middle Rd, North Clarendon, VT 05759",93,1058,25,61,85
63,vermont,Whitcomb Junior/Senior High School,/vermont/bethel/34-Whitcomb-Junior-Senior-High-School/,"273 Pleasant Street, Bethel, VT 05032",86,988,0,Not available,Not available
64,vermont,Otter Valley Uhsd #8,/vermont/brandon/202-Otter-Valley-Uhsd-8/,"2997 Franklin Street, Brandon, VT 05733",91,1039,13,48,80
65,vermont,Winooski High School,/vermont/winooski/327-Winooski-High-School/,"80 Normand Street, Winooski, VT 05404",42,971,7,65,89
66,vermont,Montpelier High School,/vermont/montpelier/172-Montpelier-High-School/,"5 High School Drive, Montpelier, VT 05602",85,1169,24,73,93
67,vermont,Peoples Academy,/vermont/morristown/178-Peoples-Academy/,"202 Copley Avenue, Morristown, VT 05661",95,1114,15,56,69
68,vermont,Mt. Anthony Senior Uhsd #14,/vermont/bennington/181-Mt.-Anthony-Senior-Uhsd-14/,"301 Park Street, Bennington, VT 05201",84,1046,11,62,82
