,State,Name,Link,Address,Graduation Rate,SAT,AP,College Attendance,College Retention
0,massachusetts,MA Academy for Math and Science School,/massachusetts/worcester/34-MA-Academy-For-Math-And-Science-School/,"85 Prescott Street, Worcester, MA 01605",100,1446,0,88,100
1,massachusetts,Lynnfield High School,/massachusetts/lynnfield/997-Lynnfield-High-School/,"275 Essex Street, Lynnfield, MA 01940",99,1141,25,86,95
2,massachusetts,Acton-Boxborough Regional High School,/massachusetts/acton/67-Acton-Boxborough-Regional-High-School/,"36 Charter Road, Acton, MA 01720",97,1307,21,87,97
3,massachusetts,Ashland High School,/massachusetts/ashland/115-Ashland-High-School/,"65 East Union Street, Ashland, MA 01721",96,1200,19,88,96
4,massachusetts,Blackstone Valley Regional Vocational Tech High School,/massachusetts/upton/217-Blackstone-Valley-Regional-Vocational-Tech-High-School/,"65 Pleasant Street, Upton, MA 01568",99,1091,22,70,96
5,massachusetts,Chelmsford High School,/massachusetts/chelmsford/470-Chelmsford-High-School/,"200 Richardson Road, Chelmsford, MA 01863",98,1182,24,86,92
6,massachusetts,Concord Carlisle High School,/massachusetts/concord/513-Concord-Carlisle-High-School/,"500 Walden Street, Concord, MA 01742",97,1267,16,84,94
7,massachusetts,Dover-Sherborn Regional High School,/massachusetts/dover/554-Dover-Sherborn-Regional-High-School/,"9 Junction Street, Dover, MA 02030",99,1285,30,87,94
8,massachusetts,Duxbury High School,/massachusetts/duxbury/569-Duxbury-High-School/,"130 Saint George Street, Duxbury, MA 02332",99,1181,29,83,93
9,massachusetts,Hamilton-Wenham Regional High School,/massachusetts/hamilton/765-Hamilton-Wenham-Regional-High-School/,"775 Bay Road, Hamilton, MA 01982",99,1177,31,89,99
10,massachusetts,Hingham High School,/massachusetts/hingham/814-Hingham-High-School/,"17 Union Street, Hingham, MA 02043",97,1201,21,84,97
11,massachusetts,Hopkinton High School,/massachusetts/hopkinton/849-Hopkinton-High-School/,"90 Hayden Rowe Street, Hopkinton, MA 01748",99,1246,45,87,96
12,massachusetts,Lexington High School,/massachusetts/lexington/912-Lexington-High-School/,"251 Waltham Street, Lexington, MA 02421",99,1297,22,83,96
13,massachusetts,Masconomet Regional High School,/massachusetts/boxford/1042-Masconomet-Regional-High-School/,"20 Endicott Road, Boxford, MA 01921",98,1179,26,89,95
14,massachusetts,Medfield Senior High School,/massachusetts/medfield/1055-Medfield-Senior-High-School/,"88 South Street, Medfield, MA 02052",98,1208,43,92,97
15,massachusetts,Needham High School,/massachusetts/needham/1168-Needham-High-School/,"609 Webster Street, Needham, MA 02494",98,1218,29,84,96
16,massachusetts,Algonquin Regional High School,/massachusetts/northborough/1278-Algonquin-Regional-High-School/,"79 Bartlett Street, Northborough, MA 01532",98,1191,28,89,97
17,massachusetts,Norwell High School,/massachusetts/norwell/1293-Norwell-High-School/,"18 South Street, Norwell, MA 02061",100,1176,32,89,97
18,massachusetts,Wellesley Sr High School,/massachusetts/wellesley/1727-Wellesley-Sr-High-School/,"50 Rice Street, Wellesley, MA 02481",97,1224,20,81,96
19,massachusetts,Westborough High School,/massachusetts/westborough/1747-Westborough-High-School/,"90 West Main Street, Westborough, MA 01581",99,1221,20,83,97
20,massachusetts,Westwood High School,/massachusetts/westwood/1783-Westwood-High-School/,"200 Nahatan Street, Westwood, MA 02090",96,1193,29,90,96
21,massachusetts,Winchester High School,/massachusetts/winchester/1828-Winchester-High-School/,"80 Skillings Road, Winchester, MA 01890",99,1238,21,86,97
22,massachusetts,Nipmuc Regional High School,/massachusetts/upton/2590-Nipmuc-Regional-High-School/,"90 Pleasant Street, Upton, MA 01568",92,1154,26,84,92
23,massachusetts,MA Academy for Math and Science School,/massachusetts/worcester/34-MA-Academy-For-Math-And-Science-School/,"85 Prescott Street, Worcester, MA 01605",100,1446,0,88,Not available
24,massachusetts,Lynnfield High School,/massachusetts/lynnfield/997-Lynnfield-High-School/,"275 Essex Street, Lynnfield, MA 01940",99,1141,25,86,95
